NEWID,FAM_SIZE,NUM_AUTO,FINCBTXM,TOTEXP,ALCBEV,FOOD,FDHOME,FDMAP,FDAWAY,MAJAPP,TENTRM,EDUCA,ELCTRC
4383554,1,0,87000.0,49016.0004,760.0,6560.0,3160.0,0.0,3400.0,0.0,140.0,0.0,1604.0
4383564,1,0,40034.2,62708.0,216.0,3120.0,1560.0,0.0,1560.0,0.0,0.0,0.0,0.0
4383614,1,0,79782.0,64466.0004,0.0,2340.0,1820.0,0.0,520.0,0.0,0.0,0.0,996.0
4383644,2,0,89158.9,25180.0,0.0,5920.0,5400.0,0.0,520.0,0.0,0.0,0.0,1200.0
4383664,2,1,71212.2,37527.4,0.0,8840.0,7020.0,0.0,1820.0,0.0,0.0,0.0,744.0
4383744,2,2,136085.2,48983.6004,0.0,5148.0,4680.0,0.0,468.0,0.0,0.0,0.0,1512.0
4383774,2,0,17605.0,19842.0,0.0,5200.0,4160.0,0.0,1040.0,0.0,0.0,0.0,1440.0
4383804,2,1,24822.0,24510.0,0.0,3060.0,1092.0,0.0,1968.0,0.0,0.0,0.0,1808.0
4383874,1,1,29988.0,19632.0,0.0,2600.0,1040.0,0.0,1560.0,0.0,0.0,0.0,1152.0
4383884,2,0,86227.3,166292.0,0.0,11440.0,8840.0,0.0,2600.0,0.0,0.0,0.0,1356.0
4383904,2,0,18360.0,34476.0,0.0,6240.0,6240.0,0.0,0.0,0.0,0.0,0.0,1204.0
4383944,1,0,22520.0,23269.9996,0.0,1560.0,1560.0,0.0,0.0,0.0,0.0,0.0,1156.0
4383954,3,1,90382.0,46932.0008,0.0,4680.0,4680.0,0.0,0.0,0.0,0.0,0.0,1800.0
4384014,1,1,51260.0,28920.0,0.0,4420.0,3900.0,0.0,520.0,0.0,0.0,0.0,552.0
4384064,3,0,53178.8,19879.6004,0.0,4940.0,4940.0,0.0,0.0,0.0,0.0,0.0,584.0
4384094,2,1,29503.0,56472.0,0.0,5200.0,4160.0,0.0,1040.0,0.0,0.0,0.0,0.0
4384114,3,2,40000.0,38796.0,520.0,10040.0,7800.0,0.0,2240.0,0.0,0.0,0.0,1632.0
4384144,1,0,29513.4,39315.8004,360.0,4940.0,4940.0,0.0,0.0,0.0,0.0,0.0,916.0
4384154,3,1,204000.0,95610.4212,540.0,10140.0,6240.0,0.0,3900.0,1468.0,0.0,0.0,1444.0
4384204,1,1,13482.0,15672.0,0.0,2080.0,1560.0,0.0,520.0,0.0,0.0,0.0,640.0
4384244,1,1,30900.0,19948.0,0.0,3380.0,2340.0,0.0,1040.0,0.0,0.0,0.0,1044.0
4384254,4,0,2836.0,25140.0004,0.0,6760.0,4940.0,0.0,1820.0,208.0,0.0,40.0,660.0
4384274,7,2,93493.8,68722.6004,240.0,14560.0,11960.0,0.0,2600.0,0.0,0.0,400.0,1680.0
4384284,1,0,55162.6,63696.0,0.0,26520.0,26520.0,0.0,0.0,1156.0,0.0,0.0,3600.0
4384324,2,1,34122.0,57390.9996,840.0,5720.0,4160.0,0.0,1560.0,0.0,0.0,2000.0,1200.0
4384354,2,0,16606.0,35550.0,0.0,9360.0,8840.0,0.0,520.0,0.0,0.0,0.0,2028.0
4384374,2,0,84000.0,55400.0,0.0,5460.0,4420.0,0.0,1040.0,0.0,0.0,0.0,1640.0
4384384,3,1,48388.4,30345.7996,120.0,9256.0,8216.0,0.0,1040.0,0.0,0.0,0.0,1680.0
4384394,1,0,44875.2,40842.5996,0.0,3640.0,3120.0,0.0,520.0,0.0,0.0,0.0,780.0
4384404,5,2,25132.2,35436.0,0.0,10400.0,6240.0,0.0,4160.0,0.0,0.0,0.0,1920.0
4384434,4,0,89500.0,166794.9992,240.0,10400.0,5720.0,0.0,4680.0,0.0,0.0,0.0,1524.0
4384494,1,1,44615.4,33982.2,0.0,4160.0,4160.0,0.0,0.0,0.0,0.0,0.0,1024.0
4384554,5,0,4700.0,25900.0,300.0,10920.0,10920.0,0.0,0.0,0.0,0.0,0.0,1068.0
4384564,3,1,243189.0,78420.7972,0.0,16380.0,9880.0,0.0,6500.0,760.0,0.0,0.0,2400.0
